Name,Country,Position,Price,M1,M2,M3,L32,L16,QF,SF,3rd,Final,Total
LUCA ZIDANE,Algeria,Goalkeeper,5,-1,,,,,,,,,-1
MELVIN MOSTIL,Algeria,Goalkeeper,4.5,,,,,,,,,,0
OUSSAMA BENBOT,Algeria,Goalkeeper,4.5,,,,,,,,,,0
AISSA MANDI,Algeria,Defender,5,-1,,,,,,,,,-1
RAMY BENSEBAINI,Algeria,Defender,5,-1,,,,,,,,,-1
RAYAN AIT-NOURI,Algeria,Defender,5,-1,,,,,,,,,-1
ACHREF ABADA,Algeria,Defender,4.5,,,,,,,,,,0
JAOUEN HADJAM,Algeria,Defender,4.5,,,,,,,,,,0
MOHAMED AMINE TOUGAI,Algeria,Defender,4.5,,,,,,,,,,0
RAFIK BELGHALI,Algeria,Defender,4.5,-1,,,,,,,,,-1
SAMIR CHERGUI,Algeria,Defender,4.5,,,,,,,,,,0
ZINEDDINE BELAID,Algeria,Defender,4.5,,,,,,,,,,0
RIYAD MAHREZ,Algeria,Midfielder,6,1,,,,,,,,,1
FARES CHAIBI,Algeria,Midfielder,5,2,,,,,,,,,2
HOUSSEM AOUAR,Algeria,Midfielder,5,1,,,,,,,,,1
IBRAHIM MAZA,Algeria,Midfielder,5,2,,,,,,,,,2
ADIL BOULBINA,Algeria,Midfielder,4.5,1,,,,,,,,,1
FARES GHEDJEMIS,Algeria,Midfielder,4.5,,,,,,,,,,0
HICHAM BOUDAOUI,Algeria,Midfielder,4.5,2,,,,,,,,,2
NABIL BENTALEB,Algeria,Midfielder,4.5,2,,,,,,,,,2
RAMIZ ZERROUKI,Algeria,Midfielder,4.5,1,,,,,,,,,1
YACINE TITRAOUI,Algeria,Midfielder,4.5,,,,,,,,,,0
MOHAMED AMOURA,Algeria,Forward,5.5,1,,,,,,,,,1
AMINE GOUIRI,Algeria,Forward,5,2,,,,,,,,,2
ANIS HADJ MOUSSA,Algeria,Forward,5,2,,,,,,,,,2
NADHIR BENBOUALI,Algeria,Forward,5,,,,,,,,,,0
EMILIANO MARTINEZ,Argentina,Goalkeeper,7.5,6,,,,,,,,,6
GERONIMO RULLI,Argentina,Goalkeeper,6.5,,,,,,,,,,0
JUAN MUSSO,Argentina,Goalkeeper,6,,,,,,,,,,0
CRISTIAN ROMERO,Argentina,Defender,7.5,6,,,,,,,,,6
LISANDRO MARTINEZ,Argentina,Defender,7,6,,,,,,,,,6
NAHUEL MOLINA,Argentina,Defender,7,1,,,,,,,,,1
NICOLAS TAGLIAFICO,Argentina,Defender,7,,,,,,,,,,0
NICOLAS OTAMENDI,Argentina,Defender,6.5,1,,,,,,,,,1
GONZALO MONTIEL,Argentina,Defender,6,2,,,,,,,,,2
MARCOS SENESI,Argentina,Defender,6,,,,,,,,,,0
VALENTIN BARCO,Argentina,Defender,5.5,,,,,,,,,,0
FACUNDO MEDINA,Argentina,Defender,5,6,,,,,,,,,6
ALEXIS MAC ALLISTER,Argentina,Midfielder,6.5,2,,,,,,,,,2
ENZO FERNANDEZ,Argentina,Midfielder,6.5,2,,,,,,,,,2
NICO PAZ,Argentina,Midfielder,6,1,,,,,,,,,1
THIAGO ALMADA,Argentina,Midfielder,6,2,,,,,,,,,2
GIULIANO SIMEONE,Argentina,Midfielder,5.5,,,,,,,,,,0
LEANDRO PAREDES,Argentina,Midfielder,5.5,,,,,,,,,,0
NICOLAS GONZALEZ,Argentina,Midfielder,5.5,4,,,,,,,,,4
RODRIGO DE PAUL,Argentina,Midfielder,5.5,5,,,,,,,,,5
EXEQUIEL PALACIOS,Argentina,Midfielder,5,,,,,,,,,,0
GIOVANI LO CELSO,Argentina,Midfielder,5,,,,,,,,,,0
LIONEL MESSI,Argentina,Forward,11,16,,,,,,,,,16
LAUTARO MARTINEZ,Argentina,Forward,9.5,2,,,,,,,,,2
JULIAN ALVAREZ,Argentina,Forward,9,1,,,,,,,,,1
JOSE MANUEL LOPEZ,Argentina,Forward,6,,,,,,,,,,0
MATHEW RYAN,Australia,Goalkeeper,5,,,,,,,,,,0
PATRICK BEACH,Australia,Goalkeeper,4.5,8,0,,,,,,,,8
PAUL IZZO,Australia,Goalkeeper,4.5,,,,,,,,,,0
AZIZ BEHICH,Australia,Defender,5,1,,,,,,,,,1
JORDAN BOS,Australia,Defender,5,6,-1,,,,,,,,5
MILOS DEGENEK,Australia,Defender,5,,,,,,,,,,0
ALESSANDRO CIRCATI,Australia,Defender,4.5,6,-1,,,,,,,,5
CAMERON BURGESS,Australia,Defender,4.5,6,-2,,,,,,,,4
HARRY SOUTTAR,Australia,Defender,4.5,6,-1,,,,,,,,5
JACOB ITALIANO,Australia,Defender,4.5,6,-1,,,,,,,,5
JASON GERIA,Australia,Defender,4.5,1,1,,,,,,,,2
KAI TREWIN,Australia,Defender,4.5,,,,,,,,,,0
LUCAS HERRINGTON,Australia,Defender,4.5,,,,,,,,,,0
AJDIN HRUSTIC,Australia,Midfielder,5,,,,,,,,,,0
AWER MABIL,Australia,Midfielder,5,,,,,,,,,,0
JACKSON IRVINE,Australia,Midfielder,5,1,1,,,,,,,,2
NESTORY IRANKUNDA,Australia,Midfielder,5,7,1,,,,,,,,8
NISHAN VELUPILLAY,Australia,Midfielder,5,1,2,,,,,,,,3
AIDEN O'NEILL,Australia,Midfielder,4.5,2,2,,,,,,,,4
CAMERON DEVLIN,Australia,Midfielder,4.5,,,,,,,,,,0
CONNOR METCALFE,Australia,Midfielder,4.5,7,1,,,,,,,,8
CRISTIAN VOLPATO,Australia,Midfielder,4.5,,1,,,,,,,,1
PAUL OKON-ENGSTLER,Australia,Midfielder,4.5,5,2,,,,,,,,7
MATHEW LECKIE,Australia,Forward,5,,2,,,,,,,,2
MOHAMED TOURE,Australia,Forward,5,2,2,,,,,,,,4
TETE YENGI,Australia,Forward,5,1,,,,,,,,,1
ALEXANDER SCHLAGER,Austria,Goalkeeper,5.5,1,,,,,,,,,1
PATRICK PENTZ,Austria,Goalkeeper,5,,,,,,,,,,0
FLORIAN WIEGELE,Austria,Goalkeeper,4.5,,,,,,,,,,0
DAVID ALABA,Austria,Defender,5.5,1,,,,,,,,,1
KEVIN DANSO,Austria,Defender,5,1,,,,,,,,,1
PHILLIPP MWENE,Austria,Defender,5,1,,,,,,,,,1
STEFAN POSCH,Austria,Defender,5,1,,,,,,,,,1
ALEXANDER PRASS,Austria,Defender,4.5,,,,,,,,,,0
DAVID AFFENGRUBER,Austria,Defender,4.5,,,,,,,,,,0
MARCO FRIEDL,Austria,Defender,4.5,,,,,,,,,,0
MICHAEL SVOBODA,Austria,Defender,4.5,,,,,,,,,,0
PHILIPP LIENHART,Austria,Defender,4.5,1,,,,,,,,,1
MARCEL SABITZER,Austria,Midfielder,5.5,1,,,,,,,,,1
CARNEY CHUKWUEMEKA,Austria,Midfielder,5,1,,,,,,,,,1
KONRAD LAIMER,Austria,Midfielder,5,2,,,,,,,,,2
NICOLAS SEIWALD,Austria,Midfielder,5,2,,,,,,,,,2
ROMANO SCHMID,Austria,Midfielder,5,7,,,,,,,,,7
XAVER SCHLAGER,Austria,Midfielder,5,5,,,,,,,,,5
ALESSANDRO SCHOPF,Austria,Midfielder,4.5,,,,,,,,,,0
DEJAN LJUBICIC,Austria,Midfielder,4.5,,,,,,,,,,0
FLORIAN GRILLITSCH,Austria,Midfielder,4.5,,,,,,,,,,0
PATRICK WIMMER,Austria,Midfielder,4.5,1,,,,,,,,,1
PAUL WANNER,Austria,Midfielder,4.5,1,,,,,,,,,1
MARKO ARNAUTOVIC,Austria,Forward,6,4,,,,,,,,,4
MICHAEL GREGORITSCH,Austria,Forward,5.5,,,,,,,,,,0
SASA KALAJDZIC,Austria,Forward,5,2,,,,,,,,,2
